資料日期,2026/08/11
檔案標籤日,2026/08/12
持股來源,finmind
FinMind資料集,TaiwanStockActiveETFHolding
FinMind查詢ETF,00988A
基金資產淨值,56632222682.119202
淨資產估算方式,finmind_market_value_div_weight

股票代號,股票名稱,持股權重,股數
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),4.980000,184500
MU US,MICRON TECHNOLOGY INC,4.950000,100000
LITE US,LUMENTUM HOLDINGS INC,4.770000,102000
3037,欣興,4.550000,2600000
2383,台光電,4.350000,445000
009150 KS,Samsung Electro-Mechanics co(009150 ks),3.590000,70000
6981 JP,MURATA MANUFACTURING CO LTD,3.530000,1350000
PANW US,PALO ALTO NETWORKS INC,3.280000,150000
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,3.170000,225000
2330,台積電,3.170000,750000
2454,聯發科,3.160000,445000
285A JP,KIOXIA HOLDINGS CORP,3.090000,180000
6223,旺矽,2.700000,242000
TSEM US,TOWER SEMICONDUCTOR LTD,2.660000,186825
WDC US,WESTERN DIGITAL CORP,2.620000,105000
AMAT US,APPLIED MATERIALS INC,2.540000,85000
BE US,BLOOM ENERGY CORP- A,2.530000,210000
MRVL US,MARVELL TECHNOLOGY INC,2.480000,205000
SNOW US,SNOWFLAKE INC-CLASS A(Snowflake公司),2.190000,115000
3711,日月光投控,2.000000,1800000
NOW US,SERVICENOW INC,1.960000,270000
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,1.920000,1749879
6871 JP,MICRONICS JAPAN CO LTD,1.840000,370000
COHR US,COHERENT INC,1.780000,95000
IFX GY,INFINEON TECHNOLOGIES AG,1.760000,425000
2327,國巨,1.690000,1550000
6976 JP,TAIYO YUDEN CO LTD,1.540000,450000
SNDK US,SANDISK CORP,1.520000,21000
2308,台達電,1.490000,468000
MPWR US,MONOLITHIC POWER SYSTEMS INC,1.440000,18000
6997 JP,NIPPON CHEMI-CON CORP,1.320000,1275100
LMT US,LOCKHEED MARTIN CORP,1.290000,38000
TER US,TERADYNE INC,1.190000,55000
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,1.060000,291988
3017,奇鋐,1.050000,215000
FORM US,FORMFACTOR INC,1.040000,150454
6787 JP,MEIKO ELECTRONICS CO LTD,0.970000,160000
AEHR US,AEHR TEST SYSTEMS,0.940000,140344
9988 HK,ALIBABA GROUP HOLDING LTD,0.920000,1000000
3308 HK,ZHONGJI INNOLIGHT CO LTD-H,0.810000,110000
PLTR US,PALANTIR TECHNOLOGIES INC-A,0.800000,80000
NET US,CLOUDFLARE INC - CLASS A,0.790000,45000
AIXA GY,AIXTRON SE,0.550000,200000
VECO US,VEECO INSTRUMENTS INC,0.020000,7952
