元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/11

詳細基金成分
基金資產總淨值(新台幣),32664501124
基金每單位淨值(新台幣),18.08
基金在外流通單位數(單位),1807022000

股票
97.21%

資產金額
股票,31752140488
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 833955094
現金,USD$ 9086260.39
應收股利,JPY$ 63853594
應付受益權單位買回款,NTD$ -214582455
應付申購預收款,NTD$ -6191235

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,7.19
SNDK US,SANDISK CORP,47173,7.02
MU US,MICRON TECHNOLOGY INC,62071,4.75
2308,台達電,628000,4.32
AMD US,ADVANCED MICRO DEVICES,82479,3.64
2330,台積電,531000,3.63
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.12
BE US,BLOOM ENERGY CORP- A,109100,2.98
285A JP,KIOXIA HOLDINGS CORP,102900,2.89
5706 JP,MITSUI KINZOKU CO LTD,92300,2.89
WDC US,WESTERN DIGITAL CORP,52262,2.59
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.46
GLW US,CORNING INC,112595,2.25
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,2.16
2383,台光電,144000,2.14
AIXA GR,AIXTRON SE,344838,1.87
SOI FP,S.O.I.T.E.C.,102089,1.87
GOOGL US,ALPHABET INC-CL A,48100,1.8
2345,智邦,221000,1.75
MRVL US,MARVELL TECHNOLOGY INC,103000,1.69
3037,欣興,634000,1.67
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.64
4062 JP,IBIDEN CO LTD,153600,1.47
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.47
CIEN US,CIENA CORP,24442,1.37
3653,健策,110000,1.35
AAOI US,APPLIED OPTOELECTRONICS INC,76000,1.35
5347,世界,2498000,1.33
000660 KP,SK HYNIX INC,10711,1.31
AVGO US,BROADCOM INC,30960,1.28
268A JP,RIGAKU HOLDINGS CORP,687700,1.24
6274,台燿,268000,1.19
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.14
CRWV US,COREWEAVE INC-CL A,100100,1.1
010120 KP,LS ELECTRIC CO LTD,52680,1.05
3017,奇鋐,130000,1.02
5803 JP,FUJIKURA LTD,243500,1.02
3110 JP,NITTO BOSEKI CO LTD,53700,0.96
AEHR US,AEHR TEST SYSTEMS,95700,0.96
TER US,TERADYNE INC,26900,0.95
ARM US,ARM HOLDINGS PLC-ADR,45000,0.92
FORM US,FORMFACTOR INC,63300,0.92
INTC US,INTEL CORP,69505,0.87
NVDA US,NVIDIA CORP,36050,0.76
2360,致茂,103000,0.74
6723 JP,RENESAS ELECTRONICS CORP,337900,0.72
NOK US,NOKIA CORP-SPON ADR,477710,0.64
9984 JP,SOFTBANK GROUP CORP,169800,0.6
2454,聯發科,50000,0.59
5274,信驊,10000,0.55
NBIS US,NEBIUS GROUP NV,30100,0.54
3436 JP,SUMCO CORP,222300,0.49
3529,力旺,36000,0.49
5016 JP,JX ADVANCED METALS CORP,140600,0.49

投資區域
名稱,比例,檔數
美國,50.17,23
台灣,20.77,13
日本,15.55,12
韓國,6.98,4
法國,1.87,1
德國,1.87,1
現金,2.79,0

