元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/12

詳細基金成分
基金資產總淨值(新台幣),31967217024
基金每單位淨值(新台幣),17.69
基金在外流通單位數(單位),1807022000

股票
96.91%

資產金額
股票,30978302397
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 426342079
現金,USD$ 31301305.34
應收股利,JPY$ 68177102
應付受益權單位買回款,NTD$ -189612675

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,6.94
SNDK US,SANDISK CORP,47173,6.75
MU US,MICRON TECHNOLOGY INC,62071,4.69
2308,台達電,628000,4.31
2330,台積電,531000,3.75
AMD US,ADVANCED MICRO DEVICES,82479,3.64
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.08
BE US,BLOOM ENERGY CORP- A,109100,3.02
285A JP,KIOXIA HOLDINGS CORP,102900,2.97
5706 JP,MITSUI KINZOKU CO LTD,92300,2.94
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.66
WDC US,WESTERN DIGITAL CORP,52262,2.52
2383,台光電,144000,2.21
GLW US,CORNING INC,112595,2.2
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,2.14
AIXA GR,AIXTRON SE,344838,1.85
GOOGL US,ALPHABET INC-CL A,48100,1.84
2345,智邦,221000,1.75
3037,欣興,634000,1.74
SOI FP,S.O.I.T.E.C.,102089,1.71
MRVL US,MARVELL TECHNOLOGY INC,103000,1.67
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.64
4062 JP,IBIDEN CO LTD,153600,1.59
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.46
AAOI US,APPLIED OPTOELECTRONICS INC,76000,1.41
CIEN US,CIENA CORP,24442,1.39
3653,健策,110000,1.35
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.35
5347,世界,2498000,1.33
000660 KP,SK HYNIX INC,10711,1.3
6723 JP,RENESAS ELECTRONICS CORP,555900,1.3
AVGO US,BROADCOM INC,30960,1.28
6274,台燿,268000,1.22
5803 JP,FUJIKURA LTD,243500,1.16
268A JP,RIGAKU HOLDINGS CORP,687700,1.15
AEHR US,AEHR TEST SYSTEMS,120400,1.15
FORM US,FORMFACTOR INC,80400,1.05
3017,奇鋐,130000,1.02
010120 KP,LS ELECTRIC CO LTD,52680,1.01
ON US,ON SEMICONDUCTOR,96700,0.99
3110 JP,NITTO BOSEKI CO LTD,53700,0.97
INTC US,INTEL CORP,69505,0.83
2360,致茂,103000,0.79
NVDA US,NVIDIA CORP,36050,0.78
NVTS US,NAVITAS SEMICONDUCTOR CORP,366200,0.69
9984 JP,SOFTBANK GROUP CORP,169800,0.64
NOK US,NOKIA CORP-SPON ADR,477710,0.62
2454,聯發科,50000,0.58
5274,信驊,10000,0.56
NBIS US,NEBIUS GROUP NV,30100,0.53
3436 JP,SUMCO CORP,222300,0.52
3529,力旺,36000,0.46
5016 JP,JX ADVANCED METALS CORP,140600,0.42

投資區域
名稱,比例,檔數
美國,48.52,22
台灣,21.07,13
日本,16.65,12
韓國,7.11,4
德國,1.85,1
法國,1.71,1
現金,3.09,0

