元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/22

詳細基金成分
基金資產總淨值(新台幣),33267621838
基金每單位淨值(新台幣),18.48
基金在外流通單位數(單位),1800522000

股票
96.97%

資產金額
股票,32258415014
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,JPY$ 767311459
現金,NTD$ 319267207
現金,USD$ 32613279.07
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -446761457

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,60705,5.45
MU US,MICRON TECHNOLOGY INC,73271,5.22
SNDK US,SANDISK CORP,36813,5.16
285A JP,KIOXIA HOLDINGS CORP,117700,4.03
2308,台達電,628000,3.95
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.81
AMD US,ADVANCED MICRO DEVICES,82479,3.66
BE US,BLOOM ENERGY CORP- A,123500,3.54
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,3.51
2330,台積電,384000,2.6
WDC US,WESTERN DIGITAL CORP,52262,2.4
5706 JP,MITSUI KINZOKU CO LTD,75200,2.22
6787 JP,MEIKO ELECTRONICS CO LTD,85300,2.21
2383,台光電,144000,2.17
IFX GR,INFINEON TECHNOLOGIES AG,263940,2.12
4062 JP,IBIDEN CO LTD,181800,2.09
GLW US,CORNING INC,112595,2.07
AIXA GR,AIXTRON SE,344838,2.03
MRVL US,MARVELL TECHNOLOGY INC,103000,1.92
3037,欣興,634000,1.85
000660 KP,SK HYNIX INC,12674,1.54
2454,聯發科,133000,1.54
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.5
SOI FP,S.O.I.T.E.C.,76183,1.49
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.42
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.37
CIEN US,CIENA CORP,24442,1.35
6723 JP,RENESAS ELECTRONICS CORP,555900,1.34
6981 JP,MURATA MANUFACTURING CO LTD,314300,1.34
WOLF US,WOLFSPEED INC,191900,1.27
5347,世界,2498000,1.22
3653,健策,110000,1.21
SMTC US,SEMTECH CORP,81700,1.21
6274,台燿,268000,1.17
NOK US,NOKIA CORP-SPON ADR,762210,1.12
6976 JP,TAIYO YUDEN CO LTD,205100,1.11
GOOGL US,ALPHABET INC-CL A,30140,1.09
NVTS US,NAVITAS SEMICONDUCTOR CORP,388586,1.08
2345,智邦,139000,1.03
3017,奇鋐,130000,0.99
NVDA US,NVIDIA CORP,46650,0.95
AVGO US,BROADCOM INC,23560,0.93
STM US,STMICROELECTRONICS NV-NY SHS,135100,0.86
INTC US,INTEL CORP,69505,0.79
AEHR US,AEHR TEST SYSTEMS,85300,0.77
2360,致茂,103000,0.7
010120 KP,LS ELECTRIC CO LTD,34775,0.61
6777 JP,SANTEC HOLDINGS CORP,37400,0.61
NBIS US,NEBIUS GROUP NV,30100,0.61
268A JP,RIGAKU HOLDINGS CORP,378100,0.59
8046,南電,204000,0.57
4958,臻鼎-KY,363000,0.56
5274,信驊,10000,0.53
7826 JP,FURUYA METAL CO LTD,77400,0.47

投資區域
名稱,比例,檔數
美國,48.2,23
台灣,20.09,14
日本,17.38,11
韓國,5.66,3
德國,4.15,2
法國,1.49,1
現金,3.03,0

