元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/26

詳細基金成分
基金資產總淨值(新台幣),36032171456
基金每單位淨值(新台幣),19.5
基金在外流通單位數(單位),1847522000

股票
96.20%

資產金額
股票,34662121589
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,EUR$ 2718760.56
現金,NTD$ 1115086430
現金,USD$ 35626882.31
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -272605337
應付申購預收款,NTD$ -38423722

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,73271,5.73
SNDK US,SANDISK CORP,36813,5.11
LITE US,LUMENTUM HOLDINGS INC,60705,4.82
2308,台達電,628000,4.1
285A JP,KIOXIA HOLDINGS CORP,117700,4.03
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,3.82
AMD US,ADVANCED MICRO DEVICES,82479,3.63
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.57
BE US,BLOOM ENERGY CORP- A,123500,3.26
6787 JP,MEIKO ELECTRONICS CO LTD,118800,2.6
2330,台積電,384000,2.42
WDC US,WESTERN DIGITAL CORP,52262,2.39
5706 JP,MITSUI KINZOKU CO LTD,75200,2.22
2383,台光電,144000,2.11
4062 JP,IBIDEN CO LTD,181800,2.09
IFX GR,INFINEON TECHNOLOGIES AG,263940,2.07
6976 JP,TAIYO YUDEN CO LTD,316000,1.98
GLW US,CORNING INC,112595,1.93
3037,欣興,634000,1.91
MRVL US,MARVELL TECHNOLOGY INC,103000,1.87
AIXA GR,AIXTRON SE,344838,1.86
2454,聯發科,133000,1.57
000660 KP,SK HYNIX INC,12674,1.51
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.41
6723 JP,RENESAS ELECTRONICS CORP,555900,1.4
6981 JP,MURATA MANUFACTURING CO LTD,314300,1.39
NVTS US,NAVITAS SEMICONDUCTOR CORP,497086,1.38
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.35
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.35
SOI FP,S.O.I.T.E.C.,76183,1.29
CIEN US,CIENA CORP,24442,1.28
ARM US,ARM HOLDINGS PLC-ADR,44800,1.26
WOLF US,WOLFSPEED INC,191900,1.23
6274,台燿,268000,1.18
SMTC US,SEMTECH CORP,81700,1.17
5347,世界,2498000,1.14
3653,健策,110000,1.12
NOK US,NOKIA CORP-SPON ADR,762210,1.09
GOOGL US,ALPHABET INC-CL A,30140,1.02
2345,智邦,139000,1.01
3017,奇鋐,130000,0.98
NVDA US,NVIDIA CORP,46650,0.87
STM US,STMICROELECTRONICS NV-NY SHS,135100,0.83
AEHR US,AEHR TEST SYSTEMS,85300,0.82
INTC US,INTEL CORP,69505,0.75
2360,致茂,103000,0.71
010120 KP,LS ELECTRIC CO LTD,34775,0.58
NBIS US,NEBIUS GROUP NV,30100,0.55
4958,臻鼎-KY,363000,0.54
8046,南電,204000,0.52
AVGO US,BROADCOM INC,13360,0.49
5274,信驊,10000,0.48
7826 JP,FURUYA METAL CO LTD,77400,0.39

投資區域
名稱,比例,檔數
美國,47.76,24
台灣,19.79,14
日本,17.51,9
韓國,5.91,3
德國,3.93,2
法國,1.29,1
現金,3.81,0

