元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/10

詳細基金成分
基金資產總淨值(新台幣),38680587234
基金每單位淨值(新台幣),18.16
基金在外流通單位數(單位),2130022000

股票
95.35%

資產金額
股票,36883764772
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1259196384
現金,USD$ 46466666.31
應收股利,JPY$ 55393054
應付申購預收款,NTD$ -48509368

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,79671,5.82
LITE US,LUMENTUM HOLDINGS INC,70905,4.96
SNDK US,SANDISK CORP,36813,4.95
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,43920,4.25
285A JP,KIOXIA HOLDINGS CORP,117700,4.24
2308,台達電,744000,4.23
AMD US,ADVANCED MICRO DEVICES,99679,3.69
MRVL US,MARVELL TECHNOLOGY INC,172700,3.57
6976 JP,TAIYO YUDEN CO LTD,373600,2.99
2330,台積電,511000,2.98
BE US,BLOOM ENERGY CORP- A,123500,2.37
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.31
SNOW US,SNOWFLAKE INC,111000,2.18
AMAT US,APPLIED MATERIALS INC,50920,2.07
6981 JP,MURATA MANUFACTURING CO LTD,439100,1.94
6787 JP,MEIKO ELECTRONICS CO LTD,118800,1.87
2383,台光電,144000,1.84
4062 JP,IBIDEN CO LTD,200000,1.78
3037,欣興,773000,1.77
000660 KP,SK HYNIX INC,15788,1.74
AIXA GR,AIXTRON SE,344838,1.74
ORCL US,ORACLE CORP,93700,1.54
LRCX US,LAM RESEARCH CORP,57900,1.53
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.48
WDC US,WESTERN DIGITAL CORP,36262,1.46
COHR US,COHERENT CORP,49560,1.44
2454,聯發科,133000,1.43
TSEM US,TOWER SEMICONDUCTOR LTD,73282,1.4
6723 JP,RENESAS ELECTRONICS CORP,604000,1.33
ARM US,ARM HOLDINGS PLC-ADR,52242,1.32
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.23
SMTC US,SEMTECH CORP,96600,1.22
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.2
6274,台燿,268000,1.04
6997 JP,NIPPON CHEMI-CON CORP,479600,1.04
NOK US,NOKIA CORP-SPON ADR,901410,0.99
WOLF US,WOLFSPEED INC,277800,0.99
5347,世界,2498000,0.98
5706 JP,MITSUI KINZOKU CO LTD,50100,0.95
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,0.9
2345,智邦,139000,0.85
VICR US,VICOR CORP,37700,0.85
3017,奇鋐,130000,0.79
DIOD US,DIODES INC,95200,0.78
NVDA US,NVIDIA CORP,46650,0.77
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,263100,0.72
3443,創意,60000,0.62
3665,貿聯-KY,110000,0.61
NBIS US,NEBIUS GROUP NV,34406,0.6
2360,致茂,103000,0.59
VECO US,VEECO INSTRUMENTS INC,94800,0.51
4958,臻鼎-KY,363000,0.47
5274,信驊,10000,0.44

投資區域
名稱,比例,檔數
美國,49.81,26
台灣,18.64,14
日本,16.86,9
韓國,5.99,2
德國,4.05,2
現金,4.65,0

