元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/11

詳細基金成分
基金資產總淨值(新台幣),40778827782
基金每單位淨值(新台幣),18.98
基金在外流通單位數(單位),2149022000

股票
96.00%

資產金額
股票,39146978749
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1230571016
現金,USD$ 5675891.19
應收股利,JPY$ 55393054
應收股利,NTD$ 5508094
應付申購預收款,NTD$ -39244424

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,79671,6.15
SNDK US,SANDISK CORP,36813,5.37
LITE US,LUMENTUM HOLDINGS INC,70905,4.89
285A JP,KIOXIA HOLDINGS CORP,117700,4.29
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,43920,4.02
2308,台達電,744000,3.94
AMD US,ADVANCED MICRO DEVICES,99679,3.78
MRVL US,MARVELL TECHNOLOGY INC,172700,3.76
6976 JP,TAIYO YUDEN CO LTD,398500,3.2
2330,台積電,511000,2.82
AMAT US,APPLIED MATERIALS INC,61746,2.65
BE US,BLOOM ENERGY CORP- A,123500,2.38
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.33
2454,聯發科,225000,2.25
6981 JP,MURATA MANUFACTURING CO LTD,504700,2.19
SNOW US,SNOWFLAKE INC,111000,2.07
LRCX US,LAM RESEARCH CORP,73173,2.06
2383,台光電,144000,1.8
4062 JP,IBIDEN CO LTD,200000,1.76
AIXA GR,AIXTRON SE,344838,1.74
000660 KP,SK HYNIX INC,15788,1.68
6787 JP,MEIKO ELECTRONICS CO LTD,118800,1.67
3037,欣興,773000,1.62
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.54
WDC US,WESTERN DIGITAL CORP,36262,1.49
TSEM US,TOWER SEMICONDUCTOR LTD,73282,1.47
COHR US,COHERENT CORP,49560,1.4
ARM US,ARM HOLDINGS PLC-ADR,52242,1.39
6723 JP,RENESAS ELECTRONICS CORP,604000,1.24
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.24
SMTC US,SEMTECH CORP,96600,1.23
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.22
VECO US,VEECO INSTRUMENTS INC,187300,1.04
VICR US,VICOR CORP,43400,1
5347,世界,2498000,0.99
NOK US,NOKIA CORP-SPON ADR,901410,0.98
WOLF US,WOLFSPEED INC,277800,0.98
6274,台燿,268000,0.97
6997 JP,NIPPON CHEMI-CON CORP,479600,0.95
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,0.93
5706 JP,MITSUI KINZOKU CO LTD,50100,0.9
2345,智邦,139000,0.78
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,302600,0.75
3017,奇鋐,130000,0.74
NVDA US,NVIDIA CORP,46650,0.74
3443,創意,60000,0.6
3665,貿聯-KY,110000,0.58
2360,致茂,103000,0.55
3436 JP,SUMCO CORP,309800,0.51
4958,臻鼎-KY,363000,0.47
6223,旺矽,31000,0.46
5274,信驊,10000,0.43

投資區域
名稱,比例,檔數
美國,49.77,23
台灣,19,15
日本,17.46,10
韓國,5.7,2
德國,4.07,2
現金,4,0

