元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/12

詳細基金成分
基金資產總淨值(新台幣),41733579591
基金每單位淨值(新台幣),19.37
基金在外流通單位數(單位),2154522000

股票
96.87%

資產金額
股票,40425582302
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1047778592
現金,USD$ 53258572.53
應收股利,JPY$ 51053794
應收股利,NTD$ 5508094

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43653,6.55
MU US,MICRON TECHNOLOGY INC,79671,5.93
LITE US,LUMENTUM HOLDINGS INC,70905,4.95
285A JP,KIOXIA HOLDINGS CORP,117700,4.52
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,46909,4.01
2308,台達電,744000,3.95
AMD US,ADVANCED MICRO DEVICES,99679,3.87
MRVL US,MARVELL TECHNOLOGY INC,161300,3.42
6976 JP,TAIYO YUDEN CO LTD,453700,3.37
2454,聯發科,294000,2.94
AMAT US,APPLIED MATERIALS INC,61746,2.66
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.28
BE US,BLOOM ENERGY CORP- A,110600,2.18
6981 JP,MURATA MANUFACTURING CO LTD,504700,2.04
LRCX US,LAM RESEARCH CORP,73173,2.03
2330,台積電,363000,2.01
SNOW US,SNOWFLAKE INC,111000,1.96
4062 JP,IBIDEN CO LTD,200000,1.81
000660 KP,SK HYNIX INC,15788,1.69
2383,台光電,144000,1.67
3037,欣興,773000,1.67
WDC US,WESTERN DIGITAL CORP,36262,1.55
ARM US,ARM HOLDINGS PLC-ADR,52242,1.51
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.49
COHR US,COHERENT CORP,49560,1.45
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.3
6723 JP,RENESAS ELECTRONICS CORP,604000,1.24
SMTC US,SEMTECH CORP,96600,1.22
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.21
VECO US,VEECO INSTRUMENTS INC,187300,1.1
5706 JP,MITSUI KINZOKU CO LTD,50100,1.04
3436 JP,SUMCO CORP,587700,1.02
5347,世界,2498000,1.01
AIXA GR,AIXTRON SE,202732,1.01
MKSI US,MKS INC,37300,1.01
NOK US,NOKIA CORP-SPON ADR,901410,1.01
VICR US,VICOR CORP,43400,1
6146 JP,DISCO CORP,26100,0.99
6223,旺矽,62000,0.96
TSEM US,TOWER SEMICONDUCTOR LTD,48382,0.96
6997 JP,NIPPON CHEMI-CON CORP,479600,0.95
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,0.95
WOLF US,WOLFSPEED INC,289800,0.95
6787 JP,MEIKO ELECTRONICS CO LTD,64100,0.94
6274,台燿,268000,0.92
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,355300,0.82
3665,貿聯-KY,144000,0.8
3017,奇鋐,130000,0.75
3443,創意,69000,0.72
2360,致茂,103000,0.57
4958,臻鼎-KY,363000,0.48
5274,信驊,10000,0.44

投資區域
名稱,比例,檔數
美國,50.24,23
台灣,18.89,14
日本,18.74,11
韓國,5.7,2
德國,3.29,2
現金,3.14,0

