元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/15

詳細基金成分
基金資產總淨值(新台幣),44652127197
基金每單位淨值(新台幣),20.76
基金在外流通單位數(單位),2150522000

股票
97.60%

資產金額
股票,43579411752
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 654776779
現金,USD$ 34698314.24
應收股利,JPY$ 51053794
應收股利,NTD$ 5508094
應付受益權單位買回款,NTD$ -248911512

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43653,6.5
MU US,MICRON TECHNOLOGY INC,79671,6.13
285A JP,KIOXIA HOLDINGS CORP,129500,5.2
LITE US,LUMENTUM HOLDINGS INC,70905,4.8
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,46909,4.37
AMD US,ADVANCED MICRO DEVICES,112579,4.35
6976 JP,TAIYO YUDEN CO LTD,453700,3.86
2308,台達電,744000,3.68
MRVL US,MARVELL TECHNOLOGY INC,161300,3.52
2454,聯發科,294000,2.94
AMAT US,APPLIED MATERIALS INC,61746,2.56
6981 JP,MURATA MANUFACTURING CO LTD,504700,2.24
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.17
BE US,BLOOM ENERGY CORP- A,110600,2.15
4062 JP,IBIDEN CO LTD,200000,2.01
LRCX US,LAM RESEARCH CORP,73173,2.01
000660 KP,SK HYNIX INC,18426,1.97
2330,台積電,363000,1.93
SNOW US,SNOWFLAKE INC,111000,1.89
WDC US,WESTERN DIGITAL CORP,36262,1.67
3037,欣興,773000,1.66
2383,台光電,144000,1.62
3436 JP,SUMCO CORP,817400,1.55
ARM US,ARM HOLDINGS PLC-ADR,52242,1.52
VECO US,VEECO INSTRUMENTS INC,255500,1.5
COHR US,COHERENT CORP,49560,1.45
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.42
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.32
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.21
6723 JP,RENESAS ELECTRONICS CORP,604000,1.2
SMTC US,SEMTECH CORP,96600,1.19
WOLF US,WOLFSPEED INC,320400,1.11
6997 JP,NIPPON CHEMI-CON CORP,479600,1.01
MKSI US,MKS INC,37300,0.99
VICR US,VICOR CORP,43400,0.99
5347,世界,2498000,0.98
6146 JP,DISCO CORP,26100,0.98
TSEM US,TOWER SEMICONDUCTOR LTD,48382,0.98
AIXA GR,AIXTRON SE,202732,0.97
6274,台燿,268000,0.94
NOK US,NOKIA CORP-SPON ADR,901410,0.94
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,0.9
6223,旺矽,62000,0.89
3443,創意,69000,0.74
3665,貿聯-KY,144000,0.73
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,355300,0.73
3017,奇鋐,130000,0.7
2360,致茂,103000,0.52
4958,臻鼎-KY,363000,0.48
5274,信驊,10000,0.4

投資區域
名稱,比例,檔數
美國,51.13,23
日本,18.78,9
台灣,18.21,14
韓國,6.34,2
德國,3.14,2
現金,2.4,0

