元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/17

詳細基金成分
基金資產總淨值(新台幣),44788840357
基金每單位淨值(新台幣),20.58
基金在外流通單位數(單位),2176022000

股票
97.58%

資產金額
股票,43702932614
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1043522019
現金,USD$ 28496527.92
應收股利,JPY$ 51053794
應收股利,NTD$ 16146994
應付受益權單位買回款,NTD$ -330174832
應付申購預收款,NTD$ -50771700

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43653,6.03
MU US,MICRON TECHNOLOGY INC,79671,5.86
285A JP,KIOXIA HOLDINGS CORP,129500,5.47
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,46909,4.44
LITE US,LUMENTUM HOLDINGS INC,70905,4.35
6976 JP,TAIYO YUDEN CO LTD,453700,4.16
AMD US,ADVANCED MICRO DEVICES,112579,4.07
2308,台達電,744000,3.58
MRVL US,MARVELL TECHNOLOGY INC,161300,3.29
WDC US,WESTERN DIGITAL CORP,63342,3.18
6981 JP,MURATA MANUFACTURING CO LTD,627100,3
2454,聯發科,294000,2.93
AMAT US,APPLIED MATERIALS INC,61746,2.58
IFX GR,INFINEON TECHNOLOGIES AG,403406,2.52
BE US,BLOOM ENERGY CORP- A,110600,2.22
000660 KP,SK HYNIX INC,18426,2.17
4062 JP,IBIDEN CO LTD,200000,2.11
2330,台積電,363000,1.93
LRCX US,LAM RESEARCH CORP,73173,1.93
SNOW US,SNOWFLAKE INC,111000,1.84
STX US,SEAGATE TECHNOLOGY HOLDINGS,23600,1.77
3436 JP,SUMCO CORP,954000,1.74
3037,欣興,773000,1.71
2383,台光電,144000,1.67
STM US,STMICROELECTRONICS NV-NY SHS,319900,1.65
ARM US,ARM HOLDINGS PLC-ADR,52242,1.54
VECO US,VEECO INSTRUMENTS INC,255500,1.37
COHR US,COHERENT CORP,49560,1.32
6723 JP,RENESAS ELECTRONICS CORP,604000,1.19
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.14
6997 JP,NIPPON CHEMI-CON CORP,479600,1.11
WOLF US,WOLFSPEED INC,320400,1.1
6223,旺矽,75000,1.08
6274,台燿,268000,1
VICR US,VICOR CORP,43400,0.99
AIXA GR,AIXTRON SE,202732,0.98
MKSI US,MKS INC,37300,0.98
6146 JP,DISCO CORP,26100,0.96
5347,世界,2498000,0.93
TSEM US,TOWER SEMICONDUCTOR LTD,48382,0.91
NOK US,NOKIA CORP-SPON ADR,901410,0.88
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,355300,0.85
3443,創意,69000,0.78
3665,貿聯-KY,144000,0.67
4958,臻鼎-KY,468000,0.67
2360,致茂,103000,0.51
5274,信驊,10000,0.41

投資區域
名稱,比例,檔數
美國,49.01,21
日本,20.59,9
台灣,17.87,13
韓國,6.61,2
德國,3.5,2
現金,2.42,0

