元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/18

詳細基金成分
基金資產總淨值(新台幣),46737343199
基金每單位淨值(新台幣),21.4
基金在外流通單位數(單位),2184022000

股票
97.12%

資產金額
股票,45392572186
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,EUR$ 5950738.5
現金,JPY$ 625736765
現金,NTD$ 1330472004
現金,USD$ 8086406.52
應收股利,JPY$ 51053794
應收股利,NTD$ 16146994
應付受益權單位買回款,NTD$ -330174832
應付申購預收款,NTD$ -7671472

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43653,6.45
MU US,MICRON TECHNOLOGY INC,79671,6.11
285A JP,KIOXIA HOLDINGS CORP,129500,5.28
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,48865,4.75
AMD US,ADVANCED MICRO DEVICES,112579,4.09
LITE US,LUMENTUM HOLDINGS INC,70905,4.07
6976 JP,TAIYO YUDEN CO LTD,453700,3.79
2308,台達電,744000,3.42
MRVL US,MARVELL TECHNOLOGY INC,161300,3.39
WDC US,WESTERN DIGITAL CORP,63342,3.19
6981 JP,MURATA MANUFACTURING CO LTD,627100,3.1
2454,聯發科,294000,2.76
AMAT US,APPLIED MATERIALS INC,61746,2.58
IFX GR,INFINEON TECHNOLOGIES AG,403406,2.58
4062 JP,IBIDEN CO LTD,235100,2.54
BE US,BLOOM ENERGY CORP- A,110600,2.46
000660 KP,SK HYNIX INC,18426,2.19
LRCX US,LAM RESEARCH CORP,73173,1.92
2330,台積電,363000,1.87
2383,台光電,144000,1.73
3436 JP,SUMCO CORP,954000,1.73
STX US,SEAGATE TECHNOLOGY HOLDINGS,23600,1.71
STM US,STMICROELECTRONICS NV-NY SHS,319900,1.69
3037,欣興,773000,1.6
ARM US,ARM HOLDINGS PLC-ADR,52242,1.55
VECO US,VEECO INSTRUMENTS INC,255500,1.38
COHR US,COHERENT CORP,49560,1.3
WOLF US,WOLFSPEED INC,320400,1.24
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.17
6723 JP,RENESAS ELECTRONICS CORP,604000,1.16
6997 JP,NIPPON CHEMI-CON CORP,479600,1.12
6274,台燿,268000,1.05
6223,旺矽,75000,1.03
MKSI US,MKS INC,37300,1.02
SNOW US,SNOWFLAKE INC,62700,0.98
VICR US,VICOR CORP,43400,0.97
8035 JP,TOKYO ELECTRON LTD,30000,0.96
AIXA GR,AIXTRON SE,202732,0.95
5347,世界,2498000,0.93
6146 JP,DISCO CORP,26100,0.93
NOK US,NOKIA CORP-SPON ADR,901410,0.82
3443,創意,69000,0.72
3665,貿聯-KY,144000,0.65
4958,臻鼎-KY,468000,0.64
6920 JP,LASERTEC CORP,26300,0.62
2360,致茂,103000,0.51
5274,信驊,10000,0.41

投資區域
名稱,比例,檔數
美國,48.1,20
日本,21.23,10
台灣,17.32,13
韓國,6.94,2
德國,3.53,2
現金,2.88,0

