元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/29

詳細基金成分
基金資產總淨值(新台幣),45684730779
基金每單位淨值(新台幣),20.31
基金在外流通單位數(單位),2249522000

股票
96.75%

資產金額
股票,44202214195
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,EUR$ 6021464.84
現金,JPY$ 34563760
現金,NTD$ 1555838057
現金,USD$ 17898920.75
應收股利,NTD$ 16946994
應付受益權單位買回款,NTD$ -234839352
應付申購預收款,NTD$ -66172092

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,82951,6.63
SNDK US,SANDISK CORP,45813,6.55
285A JP,KIOXIA HOLDINGS CORP,152400,5.81
AMD US,ADVANCED MICRO DEVICES,128479,4.83
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,48865,4.5
6976 JP,TAIYO YUDEN CO LTD,478400,3.84
LITE US,LUMENTUM HOLDINGS INC,60505,3.59
6981 JP,MURATA MANUFACTURING CO LTD,689500,3.19
2308,台達電,744000,3.1
AMAT US,APPLIED MATERIALS INC,60866,2.95
WDC US,WESTERN DIGITAL CORP,63342,2.88
BE US,BLOOM ENERGY CORP- A,138100,2.65
MRVL US,MARVELL TECHNOLOGY INC,135300,2.62
IFX GR,INFINEON TECHNOLOGIES AG,403406,2.54
2454,聯發科,294000,2.52
4062 JP,IBIDEN CO LTD,235100,2.4
000660 KP,SK HYNIX INC,19980,2.37
LRCX US,LAM RESEARCH CORP,80473,2.31
MKSI US,MKS INC,66300,1.92
2330,台積電,363000,1.88
COHR US,COHERENT CORP,67800,1.85
2383,台光電,144000,1.72
STM US,STMICROELECTRONICS NV-NY SHS,319900,1.67
3037,欣興,773000,1.65
6723 JP,RENESAS ELECTRONICS CORP,604000,1.25
VECO US,VEECO INSTRUMENTS INC,255500,1.24
3436 JP,SUMCO CORP,716100,1.18
2303,聯電,3265000,1.17
6997 JP,NIPPON CHEMI-CON CORP,479600,1.16
5347,世界,2498000,1.14
VICR US,VICOR CORP,43400,1.11
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.05
6223,旺矽,75000,0.99
8035 JP,TOKYO ELECTRON LTD,30000,0.97
ARM US,ARM HOLDINGS PLC-ADR,39842,0.95
6274,台燿,268000,0.91
INTC US,INTEL CORP,98800,0.91
DIOD US,DIODES INC,111400,0.81
PENG US,PENGUIN SOLUTIONS INC,166400,0.79
3443,創意,69000,0.67
UCTT US,ULTRA CLEAN HOLDINGS INC,72284,0.66
CIEN US,CIENA CORP,18160,0.61
3665,貿聯-KY,144000,0.59
4958,臻鼎-KY,468000,0.59
6920 JP,LASERTEC CORP,26300,0.56
6146 JP,DISCO CORP,15600,0.53
6857 JP,ADVANTEST CORP,38700,0.53
GLW US,CORNING INC,23068,0.41

投資區域
名稱,比例,檔數
美國,48.99,22
日本,21.42,11
台灣,16.93,12
韓國,6.87,2
德國,2.54,1
現金,3.25,0

