元大全球AI新經濟主動式ETF基金 (00990A) 2026/07/16

詳細基金成分
基金資產總淨值(新台幣),40395711942
基金每單位淨值(新台幣),16.48
基金在外流通單位數(單位),2450522000

股票
95.61%

資產金額
股票,38621012836
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1061497396
現金,USD$ 25759826.31
應收股利,NTD$ 39504995
應付受益權單位買回款,NTD$ -130579620
應付申購預收款,NTD$ -59429131

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
AMD US,ADVANCED MICRO DEVICES,163179,6.53
LITE US,LUMENTUM HOLDINGS INC,83032,4.68
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,56363,3.89
AMAT US,APPLIED MATERIALS INC,83386,3.74
285A JP,KIOXIA HOLDINGS CORP,102400,3.13
MU US,MICRON TECHNOLOGY INC,44151,3.01
6981 JP,MURATA MANUFACTURING CO LTD,689500,2.85
2330,台積電,450000,2.75
2308,台達電,565000,2.66
6976 JP,TAIYO YUDEN CO LTD,408200,2.52
GOOGL US,ALPHABET INC-CL A,88720,2.51
IFX GR,INFINEON TECHNOLOGIES AG,427856,2.51
WDC US,WESTERN DIGITAL CORP,63342,2.36
BE US,BLOOM ENERGY CORP- A,138100,2.28
3037,欣興,1000000,2.18
3436 JP,SUMCO CORP,953500,2.17
DELL US,DELL TECHNOLOGIES -C,69500,2.17
8035 JP,TOKYO ELECTRON LTD,61700,2.16
2454,聯發科,235000,2.15
LRCX US,LAM RESEARCH CORP,80473,2.06
META US,META PLATFORMS INC-CLASS A,38640,2.05
7735 JP,SCREEN HOLDINGS CO LTD,207100,1.92
SNDK US,SANDISK CORP,16293,1.84
2383,台光電,144000,1.78
MKSI US,MKS INC,66300,1.76
6723 JP,RENESAS ELECTRONICS CORP,837700,1.71
NVDA US,NVIDIA CORP,98100,1.62
AMZN US,AMAZON.COM INC,77400,1.54
ASML US,ASML HOLDING NV-NY REG SHS,10130,1.44
000660 KP,SK HYNIX INC,14366,1.43
6525 JP,KOKUSAI ELECTRIC CORP,286400,1.4
2303,聯電,3265000,1.29
UCTT US,ULTRA CLEAN HOLDINGS INC,159184,1.18
5347,世界,2498000,1.16
ANET US,ARISTA NETWORKS INC,85900,1.16
6223,旺矽,75000,1.15
ONTO US,ONTO INNOVATION INC,51200,1.15
3711,日月光投控,641000,1.08
MRVL US,MARVELL TECHNOLOGY INC,71500,1.08
MSFT US,MICROSOFT CORP,33280,1.07
SNOW US,SNOWFLAKE INC,48700,1.05
4062 JP,IBIDEN CO LTD,116200,1
4958,臻鼎-KY,693000,0.99
6274,台燿,268000,0.86
DDOG US,DATADOG INC - CLASS A,40200,0.84
AVGO US,BROADCOM INC,27280,0.82
TSEM US,TOWER SEMICONDUCTOR LTD,41500,0.79
SMTC US,SEMTECH CORP,65600,0.67
2449,京元電子,834000,0.66
ON US,ON SEMICONDUCTOR,74800,0.53
GLW US,CORNING INC,23068,0.29

投資區域
名稱,比例,檔數
美國,50.2,27
日本,18.86,9
台灣,18.71,12
韓國,5.32,2
德國,2.51,1
現金,4.4,0

