元大全球AI新經濟主動式ETF基金 (00990A) 2026/07/29

詳細基金成分
基金資產總淨值(新台幣),33571039406
基金每單位淨值(新台幣),13.61
基金在外流通單位數(單位),2467022000

股票
91.71%

資產金額
股票,30788599116
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 898768994
現金,USD$ 39245119.36
應收股利,NTD$ 31834595
應付受益權單位買回款,NTD$ -154476522

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
AMD US,ADVANCED MICRO DEVICES,127179,5.27
LITE US,LUMENTUM HOLDINGS INC,81912,4.76
AMAT US,APPLIED MATERIALS INC,94706,3.99
2330,台積電,576000,3.77
MU US,MICRON TECHNOLOGY INC,46405,3.31
DELL US,DELL TECHNOLOGIES -C,89300,3.18
IFX GR,INFINEON TECHNOLOGIES AG,509622,3.03
NOW US,SERVICENOW INC,258800,2.89
SNOW US,SNOWFLAKE INC,106100,2.89
WDC US,WESTERN DIGITAL CORP,63342,2.82
BE US,BLOOM ENERGY CORP- A,173500,2.74
DDOG US,DATADOG INC - CLASS A,102500,2.61
2308,台達電,565000,2.52
MSFT US,MICROSOFT CORP,64400,2.43
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,33939,2.32
META US,META PLATFORMS INC-CLASS A,38640,2.18
NVDA US,NVIDIA CORP,116300,2.13
SHOP US,SHOPIFY INC - CLASS A,168500,2.1
3037,欣興,1000000,2.05
285A JP,KIOXIA HOLDINGS CORP,78300,1.77
2383,台光電,144000,1.76
TSEM US,TOWER SEMICONDUCTOR LTD,93700,1.7
SNDK US,SANDISK CORP,17063,1.67
WDAY US,WORKDAY INC-CLASS A,102900,1.67
2454,聯發科,177000,1.66
MRVL US,MARVELL TECHNOLOGY INC,102000,1.61
6723 JP,RENESAS ELECTRONICS CORP,837700,1.56
PANW US,PALO ALTO NETWORKS INC,51500,1.56
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,84300,1.44
7735 JP,SCREEN HOLDINGS CO LTD,207100,1.43
ANET US,ARISTA NETWORKS INC,85900,1.31
GOOGL US,ALPHABET INC-CL A,38440,1.25
6976 JP,TAIYO YUDEN CO LTD,208300,1.11
ONTO US,ONTO INNOVATION INC,51200,1.08
6223,旺矽,75000,1.07
UCTT US,ULTRA CLEAN HOLDINGS INC,159184,1.07
SMTC US,SEMTECH CORP,103200,1.03
5347,世界,2498000,0.99
AMZN US,AMAZON.COM INC,45200,0.99
6981 JP,MURATA MANUFACTURING CO LTD,265200,0.97
AVGO US,BROADCOM INC,27280,0.97
3711,日月光投控,641000,0.95
8035 JP,TOKYO ELECTRON LTD,30500,0.9
2303,聯電,2775000,0.85
6274,台燿,268000,0.81
2449,京元電子,1008000,0.64
ON US,ON SEMICONDUCTOR,74800,0.57
GLW US,CORNING INC,27768,0.33

投資區域
名稱,比例,檔數
美國,61.55,29
台灣,17.07,11
日本,7.74,6
德國,3.03,1
韓國,2.32,1
現金,8.29,0

