元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/06

詳細基金成分
基金資產總淨值(新台幣),38909881583
基金每單位淨值(新台幣),15.77
基金在外流通單位數(單位),2468022000

股票
95.79%

資產金額
股票,37270397209
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 565735889
現金,USD$ 58107805.46
應付受益權單位買回款,NTD$ -245259992
應付申購預收款,NTD$ -3957240

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,96992,6.74
MSFT US,MICROSOFT CORP,113798,4.71
AMAT US,APPLIED MATERIALS INC,94706,4.14
2330,台積電,576000,3.5
MU US,MICRON TECHNOLOGY INC,46405,3.39
BE US,BLOOM ENERGY CORP- A,173500,3.29
SNOW US,SNOWFLAKE INC,115200,3.04
AMD US,ADVANCED MICRO DEVICES,72879,2.96
3037,欣興,1146000,2.87
DELL US,DELL TECHNOLOGIES -C,75300,2.73
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,36111,2.58
PANW US,PALO ALTO NETWORKS INC,84400,2.51
2383,台光電,181000,2.47
2454,聯發科,245000,2.47
WDC US,WESTERN DIGITAL CORP,63342,2.37
285A JP,KIOXIA HOLDINGS CORP,90100,2.31
MRVL US,MARVELL TECHNOLOGY INC,131000,2.29
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,113500,2.17
COHR US,COHERENT CORP,75705,2.1
SHOP US,SHOPIFY INC - CLASS A,168500,2.06
TSEM US,TOWER SEMICONDUCTOR LTD,107800,2.01
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.91
2308,台達電,441000,1.9
SNDK US,SANDISK CORP,17063,1.78
DDOG US,DATADOG INC - CLASS A,90800,1.73
5801 JP,FURUKAWA ELECTRIC CO LTD,811800,1.67
6981 JP,MURATA MANUFACTURING CO LTD,427700,1.67
6723 JP,RENESAS ELECTRONICS CORP,837700,1.62
NVDA US,NVIDIA CORP,87900,1.6
6857 JP,ADVANTEST CORP,88100,1.52
5706 JP,MITSUI KINZOKU CO LTD,84600,1.42
ANET US,ARISTA NETWORKS INC,85900,1.37
6223,旺矽,75000,1.21
SMTC US,SEMTECH CORP,103200,1.15
AXTI US,AXT INC,171200,1.07
AVGO US,BROADCOM INC,29320,1.02
6274,台燿,255000,1
3711,日月光投控,641000,0.98
3665,貿聯-KY,160000,0.97
NET US,CLOUDFLARE INC - CLASS A,41300,0.97
TER US,TERADYNE INC,30320,0.97
LRCX US,LAM RESEARCH CORP,37200,0.94
8035 JP,TOKYO ELECTRON LTD,32000,0.93
ALAB US,ASTERA LABS INC,34000,0.93
2303,聯電,2612000,0.82
6976 JP,TAIYO YUDEN CO LTD,157700,0.82
2449,京元電子,1008000,0.65
PLTR US,PALANTIR TECHNOLOGIES INC-A,37800,0.49

投資區域
名稱,比例,檔數
美國,60.5,27
台灣,18.84,11
日本,11.96,8
韓國,2.58,1
德國,1.91,1
現金,4.21,0

