元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/07

詳細基金成分
基金資產總淨值(新台幣),39516570513
基金每單位淨值(新台幣),16
基金在外流通單位數(單位),2469022000

股票
95.25%

資產金額
股票,37639678701
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 587451991
現金,USD$ 49855890.19
應付受益權單位買回款,NTD$ -248221232
應付申購預收款,NTD$ -4977144

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,101272,7.37
MSFT US,MICROSOFT CORP,113798,4.65
AMAT US,APPLIED MATERIALS INC,94706,4.17
2330,台積電,576000,3.45
MU US,MICRON TECHNOLOGY INC,46405,3.33
BE US,BLOOM ENERGY CORP- A,173500,3.11
SNOW US,SNOWFLAKE INC,115200,3.11
AMD US,ADVANCED MICRO DEVICES,72879,2.88
DELL US,DELL TECHNOLOGIES -C,75300,2.79
3037,欣興,1146000,2.77
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,36111,2.66
PANW US,PALO ALTO NETWORKS INC,84400,2.51
2454,聯發科,245000,2.42
2383,台光電,181000,2.4
COHR US,COHERENT CORP,76979,2.39
TSEM US,TOWER SEMICONDUCTOR LTD,115500,2.38
MRVL US,MARVELL TECHNOLOGY INC,131000,2.34
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,113500,2.32
WDC US,WESTERN DIGITAL CORP,63342,2.25
285A JP,KIOXIA HOLDINGS CORP,90100,2.22
SHOP US,SHOPIFY INC - CLASS A,168500,2.09
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.96
2308,台達電,441000,1.84
DDOG US,DATADOG INC - CLASS A,90800,1.74
SNDK US,SANDISK CORP,17063,1.69
5801 JP,FURUKAWA ELECTRIC CO LTD,811800,1.62
6723 JP,RENESAS ELECTRONICS CORP,837700,1.62
NVDA US,NVIDIA CORP,87900,1.61
6981 JP,MURATA MANUFACTURING CO LTD,427700,1.6
6857 JP,ADVANTEST CORP,88100,1.46
5706 JP,MITSUI KINZOKU CO LTD,84600,1.41
SMTC US,SEMTECH CORP,118700,1.35
AXTI US,AXT INC,185020,1.34
6223,旺矽,75000,1.16
AVGO US,BROADCOM INC,29320,1.03
NET US,CLOUDFLARE INC - CLASS A,41300,1.01
3711,日月光投控,641000,0.95
LRCX US,LAM RESEARCH CORP,37200,0.95
TER US,TERADYNE INC,30320,0.94
6274,台燿,255000,0.93
ALAB US,ASTERA LABS INC,34000,0.93
8035 JP,TOKYO ELECTRON LTD,32000,0.9
3665,貿聯-KY,160000,0.89
6976 JP,TAIYO YUDEN CO LTD,157700,0.79
2303,聯電,2612000,0.77
2449,京元電子,1008000,0.62
PLTR US,PALANTIR TECHNOLOGIES INC-A,37800,0.53

投資區域
名稱,比例,檔數
美國,60.81,26
台灣,18.2,11
日本,11.62,8
韓國,2.66,1
德國,1.96,1
現金,4.75,0

