元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/13

詳細基金成分
基金資產總淨值(新台幣),40762911310
基金每單位淨值(新台幣),16.57
基金在外流通單位數(單位),2460522000

股票
95.30%

資產金額
股票,38846090882
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 237803632
現金,USD$ 49090627.77
應付受益權單位買回款,NTD$ -180775766

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,101272,7.03
MU US,MICRON TECHNOLOGY INC,67365,5.05
AMAT US,APPLIED MATERIALS INC,94706,3.99
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,42083,3.51
6981 JP,MURATA MANUFACTURING CO LTD,798800,3.29
285A JP,KIOXIA HOLDINGS CORP,116300,2.98
2330,台積電,492000,2.94
COHR US,COHERENT CORP,113979,2.94
DELL US,DELL TECHNOLOGIES -C,75300,2.94
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,138000,2.9
3037,欣興,1146000,2.81
MRVL US,MARVELL TECHNOLOGY INC,159600,2.8
BE US,BLOOM ENERGY CORP- A,144800,2.7
MSFT US,MICROSOFT CORP,65598,2.57
2454,聯發科,245000,2.54
2383,台光電,181000,2.53
TSEM US,TOWER SEMICONDUCTOR LTD,115500,2.3
AMD US,ADVANCED MICRO DEVICES,60079,2.29
SHOP US,SHOPIFY INC - CLASS A,168500,2.11
SNOW US,SNOWFLAKE INC,78900,2.1
SNDK US,SANDISK CORP,17063,2.06
2308,台達電,441000,2.04
WDC US,WESTERN DIGITAL CORP,49262,1.89
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.88
PANW US,PALO ALTO NETWORKS INC,52800,1.65
AXTI US,AXT INC,267320,1.63
6857 JP,ADVANTEST CORP,88100,1.57
NVDA US,NVIDIA CORP,87900,1.56
U US,UNITY SOFTWARE INC,426600,1.54
TER US,TERADYNE INC,46320,1.5
SMTC US,SEMTECH CORP,118700,1.25
AEHR US,AEHR TEST SYSTEMS,124354,1.21
6223,旺矽,75000,1.2
WDAY US,WORKDAY INC-CLASS A,68200,1.11
FSLY US,FASTLY INC - CLASS A,429000,1.02
RBRK US,RUBRIK INC-A,122500,1.02
6274,台燿,255000,1
LRCX US,LAM RESEARCH CORP,37200,0.99
NOW US,SERVICENOW INC,98200,0.99
3711,日月光投控,641000,0.98
2345,智邦,172000,0.96
4062 JP,IBIDEN CO LTD,89700,0.96
PLTR US,PALANTIR TECHNOLOGIES INC-A,55726,0.79
2449,京元電子,1008000,0.63
CIEN US,CIENA CORP,15837,0.55
TEAM US,ATLASSIAN CORP-CL A,39800,0.52
WOLF US,WOLFSPEED INC,198600,0.49

投資區域
名稱,比例,檔數
美國,63.48,31
台灣,17.63,10
日本,8.8,4
韓國,3.51,1
德國,1.88,1
現金,4.7,0

