資料日期,2026/08/12
檔案標籤日,2026/08/12
持股來源,finmind
FinMind資料集,TaiwanStockActiveETFHolding
FinMind查詢ETF,00992A
基金資產淨值,42672552393.402542
淨資產估算方式,finmind_close_x_shares_div_weight

股票代號,股票名稱,持股權重,股數
2059,川湖,8.270500,293000
2330,台積電,7.957200,1406000
3017,奇鋐,6.833100,1002000
2383,台光電,6.257400,466000
3665,貿聯-KY,5.863200,1161000
3037,欣興,5.851600,2497000
2345,智邦,5.606000,1080000
3008,大立光,4.512800,420000
8996,高力,4.469200,1630000
6223,旺矽,4.067700,263000
2454,聯發科,3.820000,406000
3231,緯創,3.474400,7662000
6584,南俊國際,2.838900,2231000
8021,尖點,2.683700,2682000
2308,台達電,2.651100,632000
2455,全新,2.480600,2753000
1303,南亞,2.411600,5445000
3711,日月光投控,2.370600,1629000
1815,富喬,2.294000,10877000
3661,世芯-KY,2.043000,215000
3443,創意,1.923500,160000
3189,景碩,1.689000,840013
4958,臻鼎-KY,1.104900,1000000
6669,緯穎,1.087100,77000
6187,萬潤,1.085300,401000
8046,南電,0.889300,300000
6515,穎崴,0.705700,42000
7751,竑騰,0.560800,182000
6139,亞翔,0.475100,250000
6805,富世達,0.468700,109000
7734,印能科技,0.439600,56000
2337,旺宏,0.429600,1343000
5289,宜鼎,0.349000,98000
3260,威剛,0.343500,358000
3583,辛耘,0.252800,147000
5347,世界,0.235100,629000
3264,欣銓,0.036500,72000
