Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,11.06,11960000,00981A
2383,台光電,8.15,4653000,00981A
2454,聯發科,6.83,5131000,00981A
2327,國巨*,6.3,25098000,00981A
6223,旺矽,5.31,2443000,00981A
2345,智邦,5.28,6334000,00981A
3037,欣興,4.97,16607000,00981A
3017,奇鋐,4.51,5295000,00981A
6669,緯穎,4.51,2417000,00981A
2303,聯電,4.49,86550000,00981A
8046,南電,4.19,9519000,00981A
3711,日月光投控,3.84,16135000,00981A
2308,台達電,3.57,5247000,00981A
3665,貿聯-KY,3.51,4833848,00981A
2368,金像電,3.07,8315000,00981A
3653,健策,2.89,2267000,00981A
6274,台燿,2.31,5160000,00981A
5274,信驊,2.31,448900,00981A
8210,勤誠,0.98,2267000,00981A
6805,富世達,0.94,1811000,00981A
2449,京元電子,0.67,6197000,00981A
6187,萬潤,0.5,1334000,00981A
6147,頎邦,0.41,6275000,00981A
6510,精測,0.36,349000,00981A
5439,高技,0.32,3234000,00981A
6515,穎崴,0.31,130000,00981A
1590,亞德客-KY,0.28,528000,00981A
6278,台表科,0.27,4334000,00981A
6271,同欣電,0.23,2966000,00981A
6191,精成科,0.14,3988000,00981A
3376,新日興,0.13,1741000,00981A
3264,欣銓,0.12,1508000,00981A
2002,中鋼,0.04,5163000,00981A
4966,譜瑞-KY,0.03,140000,00981A
8996,高力,0.0,1000,00981A
8358,金居,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
3443,創意,0.0,1000,00981A
2439,美律,0.0,1000,00981A
3008,大立光,0.0,1000,00981A
4958,臻鼎-KY,0.0,1000,00981A
2382,廣達,0.0,1000,00981A
3533,嘉澤,0.0,1000,00981A
6488,環球晶,0.0,1000,00981A
2313,華通,0.0,1000,00981A
8150,南茂,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
2330,台積電,19.08,12800000,00403A
2303,聯電,6.26,75000000,00403A
3017,奇鋐,4.73,3450000,00403A
2344,華邦電,3.88,40000000,00403A
2454,聯發科,3.54,1650000,00403A
6223,旺矽,3.5,1000000,00403A
3037,欣興,3.4,7064000,00403A
2383,台光電,3.22,1140000,00403A
2308,台達電,2.96,2700000,00403A
2345,智邦,2.91,2170000,00403A
2327,國巨*,2.43,6000000,00403A
6669,緯穎,2.38,790000,00403A
3711,日月光投控,2.36,6150000,00403A
4958,臻鼎-KY,2.13,6934000,00403A
6488,環球晶,1.91,2350000,00403A
3653,健策,1.64,800000,00403A
3533,嘉澤,1.52,1240000,00403A
3189,景碩,1.4,3217000,00403A
8046,南電,1.24,1750000,00403A
2368,金像電,1.23,2060000,00403A
6274,台燿,1.23,1700000,00403A
1303,南亞,1.19,9900000,00403A
3443,創意,1.15,480000,00403A
7769,鴻勁,1.08,279000,00403A
8996,高力,1.0,1600000,00403A
5274,信驊,0.91,109500,00403A
2360,致茂,0.8,680000,00403A
2337,旺宏,0.75,10000000,00403A
6515,穎崴,0.63,161000,00403A
6805,富世達,0.48,570000,00403A
2317,鴻海,0.48,3200000,00403A
8358,金居,0.42,1750000,00403A
3665,貿聯-KY,0.42,360000,00403A
3583,辛耘,0.42,900000,00403A
3211,順達,0.41,1800000,00403A
1560,中砂,0.31,750000,00403A
4966,譜瑞-KY,0.29,800000,00403A
6415,矽力*-KY,0.25,900000,00403A
6442,光聖,0.24,300000,00403A
2049,上銀,0.19,1010000,00403A
3008,大立光,0.15,60000,00403A
6239,力成,0.15,900000,00403A
2404,漢唐,0.1,140000,00403A
3264,欣銓,0.08,600000,00403A
2455,全新,0.06,336000,00403A
8299,群聯,0.0,1000,00403A
6196,帆宣,0.0,1000,00403A
8210,勤誠,0.0,1000,00403A
6147,頎邦,0.0,1000,00403A
5347,世界,0.0,1000,00403A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),5.95,205000,00988A
MU US,MICRON TECHNOLOGY INC,4.77,96000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),4.21,83000,00988A
AMAT US,APPLIED MATERIALS INC,4.19,135000,00988A
BE US,BLOOM ENERGY CORP- A,3.9,310000,00988A
3037,欣興,3.45,2400000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,3.44,1250000,00988A
285A JP,KIOXIA HOLDINGS CORP,3.39,180000,00988A
2330,台積電,3.11,750000,00988A
2327,國巨*,3.04,2400000,00988A
2383,台光電,3.01,370000,00988A
SNDK US,SANDISK CORP,2.78,35000,00988A
2454,聯發科,2.71,445000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.67,625000,00988A
8035 JP,TOKYO ELECTRON LTD,2.58,110000,00988A
6976 JP,TAIYO YUDEN CO LTD,2.39,600000,00988A
3436 JP,SUMCO CORP,2.22,1572000,00988A
3711,日月光投控,2.0,1800000,00988A
KLAC US,KLA CORP,1.99,160000,00988A
6920 JP,LASERTEC CORP,1.97,130000,00988A
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,1.9,160000,00988A
FTNT US,FORTINET INC,1.89,200000,00988A
STM US,STMICROELECTRONICS NV-NY SHS,1.73,475000,00988A
NOW US,SERVICENOW INC,1.63,270000,00988A
LITE US,LUMENTUM HOLDINGS INC,1.59,37000,00988A
2303,聯電,1.56,6000000,00988A
VECO US,VEECO INSTRUMENTS INC,1.53,500000,00988A
6871 JP,MICRONICS JAPAN CO LTD,1.51,300000,00988A
PANW US,PALO ALTO NETWORKS INC,1.47,70000,00988A
6223,旺矽,1.47,145000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.45,1275100,00988A
TSEM US,TOWER SEMICONDUCTOR LTD,1.44,105000,00988A
MRVL US,MARVELL TECHNOLOGY INC,1.44,130000,00988A
WDC US,WESTERN DIGITAL CORP,1.4,50000,00988A
AIXA GY,AIXTRON SE,0.82,310000,00988A
000660 KS,SK HYNIX INC,0.72,10000,00988A
301377 CH,GUANGDONG DTECH TECHNOLOGY-A,0.7,189988,00988A
2308,台達電,0.55,175000,00988A
6274,台燿,0.54,255000,00988A
300408 CH,CHAOZHOU THREE-CIRCLE GROU-A,0.51,599909,00988A
3017,奇鋐,0.46,115000,00988A
4062 JP,IBIDEN CO LTD,0.34,60000,00988A
6278 JP,UNION TOOL CO,0.19,30000,00988A
2330,台積電,9.05,1406000,00992A
2383,台光電,6.87,563000,00992A
2059,川湖,6.3,293000,00992A
2345,智邦,6.27,1080000,00992A
3017,奇鋐,5.94,1002000,00992A
6223,旺矽,4.94,326000,00992A
3665,貿聯-KY,4.82,955000,00992A
3008,大立光,4.52,420000,00992A
8996,高力,4.39,1630000,00992A
3037,欣興,4.37,2097000,00992A
2454,聯發科,3.76,406000,00992A
2327,國巨*,3.61,2066000,00992A
6584,南俊國際,3.34,2231000,00992A
6187,萬潤,3.17,1220000,00992A
3711,日月光投控,2.7,1629000,00992A
2303,聯電,2.53,7000000,00992A
3443,創意,2.19,211000,00992A
8299,群聯,2.14,445000,00992A
2455,全新,2.12,2753000,00992A
3661,世芯-KY,2.01,215000,00992A
8021,尖點,1.71,1501000,00992A
6182,合晶,1.69,4500000,00992A
6515,穎崴,1.66,99000,00992A
3026,禾伸堂,1.57,909000,00992A
