Stock_Code,Stock_Name,Weight,Shares,ETF,Holding_Source
2383,台光電,10.0,4863000,00981A,official
2330,台積電,9.43,12134000,00981A,official
3037,欣興,7.38,20330000,00981A,official
2454,聯發科,7.15,5448000,00981A,official
3017,奇鋐,6.02,5900000,00981A,official
6669,緯穎,5.35,2496000,00981A,official
2327,國巨*,5.01,25437000,00981A,official
2345,智邦,4.89,6594000,00981A,official
6223,旺矽,4.59,2443000,00981A,official
2308,台達電,4.32,7070000,00981A,official
3653,健策,4.11,2375000,00981A,official
8046,南電,4.04,9634000,00981A,official
3711,日月光投控,3.89,19529000,00981A,official
2303,聯電,3.45,87718000,00981A,official
3665,貿聯-KY,3.19,4616848,00981A,official
6274,台燿,2.85,5499000,00981A,official
5274,信驊,2.67,484900,00981A,official
6805,富世達,1.41,2265000,00981A,official
2368,金像電,1.15,3500000,00981A,official
2449,京元電子,0.91,11295450,00981A,official
8210,勤誠,0.82,2497000,00981A,official
6187,萬潤,0.6,1334000,00981A,official
2360,致茂,0.48,622000,00981A,official
6510,精測,0.45,478000,00981A,official
8996,高力,0.43,1102000,00981A,official
4979,華星光,0.43,2424000,00981A,official
3264,欣銓,0.42,5918000,00981A,official
4958,臻鼎-KY,0.27,1682000,00981A,official
6278,台表科,0.18,3250000,00981A,official
6271,同欣電,0.14,2224000,00981A,official
6191,精成科,0.11,3988000,00981A,official
3376,新日興,0.11,1741000,00981A,official
4966,譜瑞-KY,0.03,140000,00981A,official
2002,中鋼,0.03,5163000,00981A,official
8358,金居,0.0,1000,00981A,official
3661,世芯-KY,0.0,1000,00981A,official
3443,創意,0.0,1000,00981A,official
2439,美律,0.0,1000,00981A,official
1590,亞德客-KY,0.0,1000,00981A,official
3008,大立光,0.0,1000,00981A,official
2382,廣達,0.0,1000,00981A,official
3533,嘉澤,0.0,1000,00981A,official
2408,南亞科,0.0,1000,00981A,official
6515,穎崴,0.0,1000,00981A,official
6488,環球晶,0.0,1000,00981A,official
2313,華通,0.0,1000,00981A,official
8150,南茂,0.0,1000,00981A,official
2317,鴻海,0.0,1000,00981A,official
5347,世界,0.0,1000,00981A,official
2481,強茂,0.0,5000,00981A,official
2330,台積電,16.18,12000000,00403A,official
3017,奇鋐,6.22,3515000,00403A,official
2383,台光電,6.03,1690000,00403A,official
2303,聯電,5.39,79000000,00403A,official
3037,欣興,5.32,8460000,00403A,official
2454,聯發科,4.8,2110000,00403A,official
6223,旺矽,3.45,1060000,00403A,official
2327,國巨*,3.34,9785000,00403A,official
2308,台達電,3.22,3040000,00403A,official
2345,智邦,2.97,2307000,00403A,official
2344,華邦電,2.86,28000000,00403A,official
3711,日月光投控,2.76,8000000,00403A,official
3653,健策,2.4,800000,00403A,official
6669,緯穎,2.27,610000,00403A,official
3189,景碩,2.16,4250000,00403A,official
5274,信驊,2.05,214500,00403A,official
8046,南電,1.92,2640000,00403A,official
3008,大立光,1.78,626000,00403A,official
3443,創意,1.68,510000,00403A,official
6488,環球晶,1.52,2646000,00403A,official
6274,台燿,1.51,1680000,00403A,official
3665,貿聯-KY,1.44,1200000,00403A,official
2360,致茂,1.33,1000000,00403A,official
8996,高力,1.09,1600000,00403A,official
1303,南亞,1.01,9000000,00403A,official
6239,力成,0.84,5360000,00403A,official
6805,富世達,0.76,700000,00403A,official
3533,嘉澤,0.67,700000,00403A,official
1560,中砂,0.63,1500000,00403A,official
3450,聯鈞,0.49,1600000,00403A,official
7769,鴻勁,0.49,130000,00403A,official
2317,鴻海,0.46,3200000,00403A,official
3211,順達,0.44,2000000,00403A,official
2337,旺宏,0.44,6000000,00403A,official
3583,辛耘,0.33,800000,00403A,official
6442,光聖,0.21,225000,00403A,official
8358,金居,0.19,800000,00403A,official
4966,譜瑞-KY,0.16,500000,00403A,official
2404,漢唐,0.16,250000,00403A,official
4958,臻鼎-KY,0.14,500000,00403A,official
2481,強茂,0.12,1500000,00403A,official
1717,長興,0.1,2500000,00403A,official
3264,欣銓,0.09,700000,00403A,official
2455,全新,0.08,336000,00403A,official
6285,啟碁,0.05,350000,00403A,official
8299,群聯,0.0,1000,00403A,official
6196,帆宣,0.0,1000,00403A,official
2049,上銀,0.0,1000,00403A,official
6415,矽力*-KY,0.0,1000,00403A,official
5347,世界,0.0,1000,00403A,official
LITE US,LUMENTUM HOLDINGS INC,5.8,117000,00988A,official
2383,台光電,4.59,445000,00988A,official
3037,欣興,4.43,2600000,00988A,official
009150 KS,Samsung Electro-Mechanics co(009150 ks),4.14,70000,00988A,official
6981 JP,MURATA MANUFACTURING CO LTD,3.74,1350000,00988A,official
MU US,MICRON TECHNOLOGY INC,3.64,70000,00988A,official
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.58,130000,00988A,official
285A JP,KIOXIA HOLDINGS CORP,3.25,180000,00988A,official
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,3.13,225000,00988A,official
