,資料日期：115/08/04,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,基金資產,,,,
2,淨資產,"NTD 298,310,637,198",,,
3,流通在外單位數,"10,751,709,000",,,
4,每單位淨值,NTD 27.75,,,
5,,,,,
6,項目,金額,權重,,
7,期貨(名目本金),"NTD 16,817,472,000",5.64%,,
8,股票,"NTD 268,214,681,625",89.91%,,
9,,,,,
10,項目,金額,,,
11,現金,"NTD 36,956,910,818",,,
12,期貨保證金,"NTD 4,033,884,006",,,
13,附買回債券,"NTD 8,803,954,753",,,
14,應收付證券款,"NTD -9,969,437,361",,,
15,,,,,
16,期貨(名目本金),,,,
17,期貨代號,期貨名稱,持股權重,口數,契約年月
18,TX,台指期貨(B),5.64%,"1,940",2026/08
19,,,,,
20,股票,,,,
21,股票代號,股票名稱,股數,持股權重,
22,2330,台積電,"11,959,000",9.30%,
23,2383,台光電,"4,863,000",8.38%,
24,2454,聯發科,"5,448,000",7.06%,
25,3037,欣興,"20,210,000",6.26%,
26,6669,緯穎,"2,708,000",5.63%,
27,3017,奇鋐,"5,801,000",5.06%,
28,2345,智邦,"6,419,000",4.99%,
29,6223,旺矽,"2,443,000",4.83%,
30,2327,國巨*,"25,437,000",4.83%,
31,3665,貿聯-KY,"5,130,848",3.96%,
32,2303,聯電,"87,718,000",3.48%,
33,8046,南電,"9,519,000",3.33%,
34,3653,健策,"2,375,000",3.30%,
35,2308,台達電,"5,932,000",3.22%,
36,3711,日月光投控,"16,327,000",3.20%,
37,6274,台燿,"5,499,000",2.47%,
38,5274,信驊,"454,900",2.36%,
39,2368,金像電,"7,579,000",2.28%,
